PART	part	119964.0
ELLES	elles	118978.0
JOURS	jours	118455.0
GRAND	grand	117213.0
VENIR	venir	116762.0
AMI	ami	116639.0
DEMAIN	demain	116541.0
HEIN	hein	116301.0
TARD	tard	115148.0
PUIS	puis	115038.0
TRUC	truc	114959.0
PASSER	passer	114718.0
PETITE	petite	114295.0
TANT	tant	113917.0
CONNAIS	connais	113815.0
COMBIEN	combien	113220.0
MEC	mec	113219.0
SENS	sens	112925.0
POUVEZ	pouvez	112615.0
PORTE	porte	110258.0
SORTIR	sortir	109313.0
SUPER	super	108980.0
HEURE	heure	108452.0
CONTRE	contre	108451.0
COUP	coup	108065.0
COMPRENDS	comprends	107885.0
ENTENDU	entendu	107777.0
VIENT	vient	107616.0
ALLONS	allons	106551.0
ENSEMBLE	ensemble	106057.0
NOUVEAU	nouveau	105566.0
AMOUR	amour	104503.0
IMPORTE	importe	104429.0
SANG	sang	103824.0
DESOLEE	désolée	102105.0
CAS	cas	100615.0
SOUS	sous	100518.0
RESTER	rester	99983.0
AMIS	amis	99948.0
PRENDS	prends	99491.0
FINI	fini	98823.0
HOMMES	hommes	98230.0
TUE	tué	98218.0
QUESTION	question	97869.0
PARTIE	partie	97788.0
HISTOIRE	histoire	97363.0
DEVRAIS	devrais	97220.0
AIDE	aide	96574.0
DERNIERE	dernière	96425.0
DEMANDE	demande	95954.0
CHERCHER	chercher	95887.0
PENSAIS	pensais	95747.0
GENRE	genre	95698.0
SEULEMENT	seulement	95569.0
POLICE	police	95229.0
CAR	car	94921.0
MOIS	mois	94016.0
FRERE	frère	94005.0
LAISSER	laisser	93545.0
AUCUN	aucun	93134.0
METTRE	mettre	92980.0
EUX	eux	92010.0
LAISSE	laisse	91272.0
CHAQUE	chaque	91035.0
VILLE	ville	90067.0
DEVRAIT	devrait	89639.0
VONT	vont	88659.0
LONGTEMPS	longtemps	88619.0
AUCUNE	aucune	87577.0
HEURES	heures	87343.0
BEBE	bébé	86634.0
PLACE	place	86562.0
REVOIR	revoir	86062.0
PUTAIN	putain	85798.0
COMPRIS	compris	85603.0
SAVAIS	savais	84626.0
LEURS	leurs	84050.0
ETAIENT	étaient	83848.0
ATTENTION	attention	83667.0
DONNER	donner	83428.0
AFFAIRE	affaire	83076.0
ENDROIT	endroit	82941.0
POURRAIS	pourrais	82579.0
CORPS	corps	82565.0
FACON	façon	82429.0
DONNE	donné	82427.0
VOICI	voici	82156.0
TRAIN	train	82087.0
DONT	dont	81842.0
ECOUTE	écoute	81813.0
YEUX	yeux	81633.0
POUVOIR	pouvoir	81369.0
TYPE	type	81069.0
PERDU	perdu	80940.0
PREMIER	premier	80900.0
PREMIERE	première	80647.0
COTE	côté	80162.0
POINT	point	80138.0
TELLEMENT	tellement	80089.0
MAIN	main	79961.0
TIENS	tiens	79293.0
SOIS	sois	79031.0
ENFANT	enfant	78904.0
VIEUX	vieux	78652.0
MATIN	matin	78600.0
VENU	venu	77238.0
PARDON	pardon	77144.0
SUITE	suite	76545.0
VERS	vers	76542.0
MINUTES	minutes	76229.0
VENEZ	venez	76029.0
DEVANT	devant	75940.0
ENFIN	enfin	75391.0
ARRETER	arrêter	74860.0
CAUSE	cause	74747.0
NOUVELLE	nouvelle	74677.0
ATTENDEZ	attendez	74608.0
CHAMBRE	chambre	74591.0
DROIT	droit	74535.0
PARTI	parti	74523.0
MIS	mis	74511.0
EAU	eau	74267.0
COMPTE	compte	74243.0
DIRAIT	dirait	74046.0
TERRE	terre	74029.0
BELLE	belle	74001.0
ESPERE	espère	73948.0
AIMERAIS	aimerais	73931.0
LOIN	loin	73779.0
MARI	mari	72921.0
FIN	fin	72794.0
CROIRE	croire	72465.0
MME	mme	72376.0
AURA	aura	72059.0
GROS	gros	71871.0
BOULOT	boulot	71509.0
PLUTOT	plutôt	71199.0
CHERIE	chérie	71179.0
PRET	prêt	70737.0
FILLES	filles	70420.0
BUREAU	bureau	70339.0
MOURIR	mourir	70130.0
HIER	hier	69937.0
POSSIBLE	possible	69891.0
JOUER	jouer	69516.0
DEMANDER	demander	69293.0
CELUI	celui	69179.0
VOULAIT	voulait	68950.0
BEAU	beau	67782.0
JEUNE	jeune	67609.0
EUH	euh	67392.0
DEHORS	dehors	67348.0
DOCTEUR	docteur	67286.0
CONFIANCE	confiance	67045.0
APPELER	appeler	67001.0
ANNEES	années	66836.0
VERITE	vérité	66327.0
ECOLE	école	66151.0
CHEF	chef	66020.0
FEMMES	femmes	66013.0
PROPOS	propos	65929.0
SEMAINE	semaine	65429.0
VIVRE	vivre	64664.0
REGARDEZ	regardez	64586.0
FEU	feu	64459.0
JOURNEE	journée	63963.0
MADAME	madame	63463.0
HEY	hey	63364.0
TELEPHONE	téléphone	62803.0
PRES	près	62659.0
AFFAIRES	affaires	62509.0
MEILLEUR	meilleur	62322.0
DEVEZ	devez	62051.0
DESSUS	dessus	62027.0
MAINS	mains	61954.0
PENSES	penses	61741.0
PRIE	prie	61306.0
EQUIPE	équipe	61172.0
GRANDE	grande	61118.0
MANGER	manger	60951.0
ARRIVER	arriver	60824.0
DUR	dur	60815.0
GUERRE	guerre	60533.0
AIT	ait	60333.0
APPELE	appelé	60257.0
MARCHE	marche	60060.0
SECURITE	sécurité	59750.0
GARCON	garçon	59725.0
ESSAIE	essaie	59674.0
IMPORTANT	important	59641.0
DITES	dites	59498.0
EXACTEMENT	exactement	59442.0
FONT	font	59434.0
FORT	fort	59357.0
PRESQUE	presque	59183.0
PLEIN	plein	59129.0
DERRIERE	derrière	59059.0
BEN	ben	59042.0
MARIAGE	mariage	58910.0
PARENTS	parents	58708.0
CAPITAINE	capitaine	58413.0
DERNIER	dernier	58399.0
FOU	fou	58314.0
CEUX	ceux	58210.0
TOMBER	tomber	57627.0
ATTENDRE	attendre	57610.0
VUE	vue	57392.0
SOUVIENS	souviens	57155.0
ENVIE	envie	56862.0
FETE	fête	56661.0
JEU	jeu	56566.0
GENIAL	génial	56189.0
PAYS	pays	55567.0
GARDE	garde	55293.0
COURS	cours	54886.0
BIENTOT	bientôt	54494.0
NUMERO	numéro	54135.0
PERSONNES	personnes	54104.0
CINQ	cinq	54092.0
PARFAIT	parfait	53772.0
AINSI	ainsi	53523.0
RETOUR	retour	53349.0
SEMBLE	semble	53159.0
AUTANT	autant	53097.0
PEINE	peine	53089.0
MINUTE	minute	53057.0
ESSAYE	essayé	52897.0
PLAN	plan	52873.0
INSTANT	instant	52720.0
SERAI	serai	52686.0
PRISON	prison	52666.0
PENSER	penser	52612.0
ESSAYER	essayer	52345.0
PREND	prend	52147.0
ARME	arme	52139.0
MAUVAIS	mauvais	52116.0
MOT	mot	52103.0
TRAVAILLER	travailler	51814.0
QUATRE	quatre	51716.0
RENTRER	rentrer	51544.0
REGARDER	regarder	51486.0
CHOIX	choix	51014.0
PARFOIS	parfois	50714.0
FILM	film	50463.0
ABORD	abord	50320.0
VOYEZ	voyez	50199.0
FAUTE	faute	50187.0
FACILE	facile	50015.0
CROYAIS	croyais	49992.0
BAS	bas	49872.0
CHANGER	changer	49767.0
ENTENDRE	entendre	49655.0
PLAISIR	plaisir	49365.0
HEUREUX	heureux	49316.0
ENTRER	entrer	49076.0
VOUDRAIS	voudrais	49061.0
PROPRE	propre	48778.0
ETIEZ	étiez	48770.0
TOUR	tour	48730.0
FERA	fera	48729.0
ENSUITE	ensuite	48619.0
GARDER	garder	48491.0
AGENT	agent	48468.0
ALLAIT	allait	48398.0
LIT	lit	48374.0
TRAVAILLE	travaille	48194.0
ADORE	adore	47930.0
AMIE	amie	47899.0
RENDRE	rendre	47887.0
ROUTE	route	47877.0
LIEU	lieu	47846.0
ANNEE	année	47747.0
VOIT	voit	47662.0
COMMENCE	commence	47401.0
SERVICE	service	47219.0
DEVOIR	devoir	47066.0
ATTEND	attend	46971.0
DROLE	drôle	46916.0
DIFFICILE	difficile	46667.0
SURE	sûre	46585.0
PIRE	pire	46569.0
POS	pos	46544.0
PEUVENT	peuvent	46475.0
SUJET	sujet	46448.0
ETAT	état	46353.0
CECI	ceci	46192.0
IMPOSSIBLE	impossible	46058.0
SORTE	sorte	45976.0
PERDRE	perdre	45792.0
DOLLARS	dollars	45519.0
VOULU	voulu	45504.0
MORTE	morte	45457.0
IRA	ira	45398.0
FAISAIT	faisait	45293.0
BIZARRE	bizarre	45211.0
OUBLIE	oublié	44936.0
ARRETEZ	arrêtez	44843.0
FERAI	ferai	44832.0
SERAIS	serais	44830.0
TOT	tôt	44694.0
INQUIETE	inquiète	44638.0
PAYER	payer	44636.0
COEUR	coeur	44598.0
POUVAIS	pouvais	44535.0
REVIENS	reviens	44478.0
CHIEN	chien	44449.0
SUFFIT	suffit	44353.0
PRENEZ	prenez	44352.0
PENSEZ	pensez	44223.0
CAFE	café	44063.0
CALME	calme	44023.0
CHERCHE	cherche	43990.0
MONTRER	montrer	43938.0
PARLES	parles	43864.0
PHOTO	photo	43835.0
FERME	ferme	43771.0
PROBLEMES	problèmes	43735.0
THE	the	43705.0
CŒUR	cœur	43691.0
SUREMENT	sûrement	43604.0
VERRE	verre	43564.0
AIMES	aimes	43476.0
DEVONS	devons	43474.0
VEULENT	veulent	43466.0
DOUTE	doute	43368.0
MUSIQUE	musique	43317.0
COURANT	courant	43257.0
SAUF	sauf	43211.0
MOYEN	moyen	43094.0
NOUVELLES	nouvelles	43001.0
AVIS	avis	42822.0
SAUVER	sauver	42781.0
HOPITAL	hôpital	42773.0
QUESTIONS	questions	42732.0
MEURTRE	meurtre	42615.0
SERIEUX	sérieux	42566.0
SECONDE	seconde	42558.0
TRUCS	trucs	42548.0
COMPRENDRE	comprendre	42495.0
ALLAIS	allais	42452.0
ESPRIT	esprit	42339.0
COOL	cool	42254.0
MLLE	mlle	42249.0
FOUS	fous	42174.0
HAUT	haut	42011.0
SALLE	salle	41868.0
MALADE	malade	41746.0
CHANGE	changé	41591.0
GENTIL	gentil	41586.0
ALLE	allé	41502.0
SIX	six	41391.0
SIMPLE	simple	41316.0
JOHN	john	41222.0
SEMAINES	semaines	41083.0
CELLE	celle	41072.0
JACK	jack	41049.0
APPRIS	appris	41022.0
SEIGNEUR	seigneur	40977.0
DINER	dîner	40925.0
SORS	sors	40866.0
SUPPOSE	suppose	40694.0
CHEMIN	chemin	40491.0
PARTOUT	partout	40420.0
BRAS	bras	40381.0
CUL	cul	40257.0
PROCHAINE	prochaine	40242.0
VISAGE	visage	39958.0
MEILLEURE	meilleure	39793.0
FACE	face	39743.0
SOIREE	soirée	39649.0
ROI	roi	39490.0
SURTOUT	surtout	39488.0
RETARD	retard	39464.0
ECRIT	écrit	39335.0
LIVRE	livre	39271.0
RAPPORT	rapport	39270.0
CHERI	chéri	39264.0
MESSAGE	message	39241.0
VAUT	vaut	39050.0
FERAIS	ferais	39008.0
MORTS	morts	38988.0
BOIRE	boire	38949.0
SOYEZ	soyez	38926.0
PRESIDENT	président	38910.0
BOIS	bois	38577.0
SINON	sinon	38576.0
ERREUR	erreur	38428.0
NEW	new	38345.0
RENTRE	rentre	38212.0
DEVAIT	devait	38107.0
REVENIR	revenir	38040.0
JOUE	joue	37977.0
PAUVRE	pauvre	37944.0
DEVENIR	devenir	37910.0
RENCONTRER	rencontrer	37801.0
SORT	sort	37668.0
COMMENCER	commencer	37646.0
POUVAIT	pouvait	37606.0
OCCUPE	occupe	37524.0
ENTENDS	entends	37509.0
SOUVENT	souvent	37426.0
PIECE	pièce	37391.0
RECU	reçu	37374.0
GRAVE	grave	37363.0
METS	mets	37355.0
INTERIEUR	intérieur	37333.0
HONNEUR	honneur	37223.0
DORMIR	dormir	37219.0
FAUX	faux	37004.0
MESSIEURS	messieurs	36835.0
GROUPE	groupe	36747.0
REVE	rêve	36646.0
CARTE	carte	36617.0
AVIEZ	aviez	36607.0
APPEL	appel	36462.0
MANQUE	manque	36432.0
ENVOYE	envoyé	36334.0
DEBUT	début	36194.0
SAM	sam	36188.0
PUISSE	puisse	36184.0
ECOUTEZ	écoutez	36099.0
BONSOIR	bonsoir	35996.0
CONTENT	content	35995.0
SECRET	secret	35927.0
VENUE	venue	35831.0
CHER	cher	35798.0
EFFET	effet	35720.0
VOYONS	voyons	35712.0
SAC	sac	35663.0
CONTINUE	continue	35623.0
ACHETER	acheter	35367.0
VOIX	voix	35335.0
CERTAINS	certains	35311.0
OCCUPER	occuper	35303.0
NOEL	noël	35247.0
GAGNER	gagner	35232.0
GRACE	grâce	35130.0
MAITRE	maître	35027.0
PRIX	prix	35016.0
MAUVAISE	mauvaise	34877.0
GENERAL	général	34861.0
AGE	âge	34813.0
